;2018;2018;2015;2015;2012;2012;2009;2009;2006;2006;2003;2003;2018;2015;2012;2009;2006;2003
;M;F;M;F;M;F;M;F;M;F;M;F;medel;medel;medel;medel;medel;medel
Australia;494;488;497;491;510;498;519;509;527;513;527;522;491;494;504;514;520;524
Austria;505;492;510;483;517;494;506;486;517;494;509;502;499;497;506;496;505;506
Belgium;514;502;514;500;520;509;526;504;524;517;533;525;508;507;515;515;520;529
Brazil;388;379;385;370;397;380;394;379;380;361;365;348;384;377;389;386;370;356
Canada;514;510;520;511;523;513;533;521;534;520;541;530;512;516;518;527;527;532
Czech Republic;501;498;496;489;505;493;495;490;514;504;524;509;499;492;499;493;510;516
Denmark;511;507;516;506;507;493;511;495;518;508;523;506;509;511;500;503;513;514
Finland;504;510;507;515;517;520;542;539;554;543;548;541;507;511;519;541;548;544
France;499;492;496;490;499;491;505;489;499;492;515;507;495;493;495;497;496;511
Germany;503;496;514;498;520;507;520;505;513;494;508;499;500;506;514;513;504;503
Greece;452;451;454;454;457;449;473;459;462;457;455;436;451;454;453;466;459;445
Hong Kong;548;554;549;547;568;553;561;547;555;540;552;548;551;548;561;555;547;550
Hungary;486;477;481;473;482;473;496;484;496;486;494;486;481;477;477;490;491;490
Iceland;490;500;487;489;490;496;508;505;503;508;508;523;495;488;493;507;506;515
Indonesia;374;383;385;387;377;373;371;372;399;382;362;358;379;386;375;371;391;360
Ireland;503;497;512;495;509;494;491;483;507;496;510;495;500;504;501;487;501;503
Italy;494;479;500;480;494;476;490;475;470;453;475;457;487;490;485;483;462;466
Japan;532;522;539;525;545;527;534;524;533;513;539;530;527;532;536;529;523;534
Korea;528;524;521;528;562;544;548;544;552;543;552;528;526;524;554;546;547;542
Latvia;500;493;481;483;489;493;483;481;489;484;485;482;496;482;491;482;486;483
Luxembourg;487;480;491;480;502;477;499;479;498;482;502;485;483;486;490;489;490;493
Macao;560;556;540;548;540;537;531;520;530;520;538;517;558;544;538;525;525;527
Mexico;415;403;412;404;420;406;425;412;410;401;391;380;409;408;413;419;406;385
Netherlands;520;519;513;511;528;518;534;517;537;524;540;535;519;512;523;526;531;538
New Zealand;499;490;499;491;507;492;523;515;527;517;531;516;494;495;500;519;522;523
Norway;497;505;501;503;490;488;500;495;493;487;498;492;501;502;489;498;490;495
Poland;516;515;510;499;520;516;497;493;500;491;493;487;516;504;518;495;495;490
Portugal;497;488;497;487;493;481;493;481;474;459;472;460;492;492;487;487;466;466
Russia;490;485;497;491;481;483;469;467;479;473;473;463;488;494;482;468;476;468
Slovak Republic;488;484;478;472;486;477;498;495;499;485;507;489;486;475;482;497;492;498
Spain;485;478;494;478;492;476;493;474;484;476;490;481;481;486;484;483;480;485
Sweden;502;503;493;495;477;480;493;495;505;500;512;506;502;494;478;494;502;509
Switzerland;519;512;527;515;537;524;544;524;536;523;535;518;515;521;531;534;530;527
Thailand;410;426;414;417;419;433;421;417;413;420;415;419;419;415;427;419;417;417
Turkey;456;451;423;418;452;444;451;440;427;421;430;415;454;420;448;445;424;423
United Kingdom;508;496;498;487;500;488;503;482;504;487;512;505;502;492;494;492;495;508
United States;482;474;474;465;484;479;497;477;479;470;486;480;478;470;481;487;474;483
Uruguay;422;414;425;412;415;404;433;421;433;420;428;416;418;418;409;427;427;422
